rank,channel_id,channel_name,channel_url,subscribers,video_count,views_total,country,classification,latest_video_id,latest_video_title,latest_video_thumbnail,latest_video_published_at,latest_video_duration_sec,latest_video_views,generated_at_utc
1,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya,https://www.youtube.com/channel/UChBQgieUidXV1CmDxSdRm3g,,,,,,RCqiYP7OZk8,"The explainer, 11th November 2025",https://i3.ytimg.com/vi/RCqiYP7OZk8/hqdefault.jpg,2025-11-11T19:27:56.000Z,4149,5252,2025-11-12T02:20:46.879Z
2,UCKVsdeoHExltrWMuK0hOWmg,KTN News Kenya,https://www.youtube.com/channel/UCKVsdeoHExltrWMuK0hOWmg,,,,,,v4h5DfAVJQI,Child Safety and Security: Cases of child abuse on the rise,https://i3.ytimg.com/vi/v4h5DfAVJQI/hqdefault.jpg,2025-11-11T21:09:10.000Z,2957,67,2025-11-12T02:20:46.879Z
3,UCqBJ47FjJcl61fmSbcadAVg,NTV Kenya,https://www.youtube.com/channel/UCqBJ47FjJcl61fmSbcadAVg,,,,,,Vea-FiFAKrg,The Last Word | Can Kenya rise above tribal politics?,https://i3.ytimg.com/vi/Vea-FiFAKrg/hqdefault.jpg,2025-11-11T20:37:36.000Z,6110,413,2025-11-12T02:20:46.879Z
4,UCZlNMLTVNxzwB0axilK-rDw,Inooro TV,https://www.youtube.com/channel/UCZlNMLTVNxzwB0axilK-rDw,,,,,,DgMan5XQKwU,#iNooroTVLive,https://i1.ytimg.com/vi/DgMan5XQKwU/hqdefault.jpg,2025-11-11T19:20:59.000Z,15667,49204,2025-11-12T02:20:46.879Z
5,UCdYjYt4YGhEbCGMv1fbv0pg,Ebru TV Kenya,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
6,UCl6ICaB9meBcSMQ5Zmr446g,Tuko / Tuco - Kenya,https://www.youtube.com/channel/UCl6ICaB9meBcSMQ5Zmr446g,,,,,,UjmRXfwcalc,Missing in Russia: The Mystery of Kenyan Man Recruited for War| Tuko TV,https://i2.ytimg.com/vi/UjmRXfwcalc/hqdefault.jpg,2025-11-10T06:04:33.000Z,2076,26544,2025-11-12T02:20:46.879Z
7,UC_zA9UIWE1fB-jfFk_DBSYw,TV47 Kenya,https://www.youtube.com/channel/UC_zA9UIWE1fB-jfFk_DBSYw,,,,,,v72ugb-2bCo,"God has a plan for your beginning: Ap. James Mabwa, Victory Gospel Apostolic Church | Morning Decree",https://i3.ytimg.com/vi/v72ugb-2bCo/hqdefault.jpg,2025-11-12T02:00:06.000Z,660,2,2025-11-12T02:20:46.879Z
8,UCwNlZfIT5e0tU2Z_b7gmtiQ,PLUG TV,https://www.youtube.com/channel/UCwNlZfIT5e0tU2Z_b7gmtiQ,,,,,,xm5E99g7mjk,STATEHOUSE CRISIS: Why Ruto and his Allies Are Suddenly Terrified of Kalonzo Musyoka |Plug Tv Kenya,https://i1.ytimg.com/vi/xm5E99g7mjk/hqdefault.jpg,2025-11-09T21:56:47.000Z,1036,73936,2025-11-12T02:20:46.879Z
9,UCkRNRz9ifB2A04zTb6Y9LYg,Gue Punya Cerita,https://www.youtube.com/channel/UCkRNRz9ifB2A04zTb6Y9LYg,,,,,,ChrOUV8NzHU,KOMPILASI SKANDAL | SELINGKUH Gue Punya Cerita | Kisah Nyata |  SEASON 4,https://i4.ytimg.com/vi/ChrOUV8NzHU/hqdefault.jpg,2025-11-11T11:00:19.000Z,3741,47105,2025-11-12T02:20:46.879Z
10,UCa2gldA2ivhzMwIJRA5683w,Lynn Ngugi,https://www.youtube.com/channel/UCa2gldA2ivhzMwIJRA5683w,,,,,,ZsgErP0-z0Y,Kenya’s Affordable Housing Is Part of a Global Order to Control Ownership | LNN,https://i3.ytimg.com/vi/ZsgErP0-z0Y/hqdefault.jpg,2025-11-07T07:00:35.000Z,1427,226507,2025-11-12T02:20:46.879Z
11,UCZ6r5PvXtieU9L0B2vh_ekg,Kenya Diaspora Media USA,https://www.youtube.com/channel/UCZ6r5PvXtieU9L0B2vh_ekg,,,,,,Zk06WH9naYY,FORMER  KENYAN TEACHER NOW IN MENTAL HEALTH FIELD IN UNITED STATES .ZERO TO HERO,https://i3.ytimg.com/vi/Zk06WH9naYY/hqdefault.jpg,2025-11-11T21:30:46.000Z,1846,384,2025-11-12T02:20:46.879Z
12,UC4tjY2tTltEKePusozUxtSA,Abel Mutua,https://www.youtube.com/channel/UC4tjY2tTltEKePusozUxtSA,,,,,,BwOAhND16Sk,30 Year Old Double Homicide||  Headline Hitters 11 Ep 2,https://i3.ytimg.com/vi/BwOAhND16Sk/hqdefault.jpg,2025-11-09T17:15:07.000Z,2000,172299,2025-11-12T02:20:46.879Z
13,UC_9xRXWjRrz_Jy7SWhUnBBw,Obinna TV Extra,https://www.youtube.com/channel/UC_9xRXWjRrz_Jy7SWhUnBBw,,,,,,dFtyv1tdZUA,WHEN THE SYSTEM IGNORES YOU | Sammy Kioko’s Real Story,https://i1.ytimg.com/vi/dFtyv1tdZUA/hqdefault.jpg,2025-11-11T07:00:06.000Z,1616,48129,2025-11-12T02:20:46.879Z
14,UCOsHyjujol57SIFR0imyEKQ,Radio Jambo KENYA,https://www.youtube.com/channel/UCOsHyjujol57SIFR0imyEKQ,,,,,,jmFI9qS4QOc,BUSTAANI LA MASSAWE,https://i3.ytimg.com/vi/jmFI9qS4QOc/hqdefault.jpg,2025-11-11T23:34:43.000Z,5459,363,2025-11-12T02:20:46.879Z
15,UCJvhxJf8-Bne99uzuQpFIpg,Dr. King'ori (Felixe JaSiaya),https://www.youtube.com/channel/UCJvhxJf8-Bne99uzuQpFIpg,,,,,,UabZFWZpg_4,Financial Freedom Beyond Money || Elisha Ongoya - Advocate,https://i2.ytimg.com/vi/UabZFWZpg_4/hqdefault.jpg,2025-11-10T07:00:34.000Z,5692,110914,2025-11-12T02:20:46.879Z
16,UCsURxs8Kz_qzezpicj-STyw,Capital FM Kenya,https://www.youtube.com/channel/UCsURxs8Kz_qzezpicj-STyw,,,,,,f-_n0uvg96s,CAPITAL IN THE MORNING: EMERGENCY PREPAREDNESS AND RESPONSE,https://i3.ytimg.com/vi/f-_n0uvg96s/hqdefault.jpg,2025-11-11T18:13:29.000Z,2813,188,2025-11-12T02:20:46.879Z
17,UCZD5OZHEyYG60lF8SBh_JVQ,Dee Mwango,https://www.youtube.com/channel/UCZD5OZHEyYG60lF8SBh_JVQ,,,,,,WJppLD_021c,Unboxing +Conversation of injecting the truth pill!!,https://i4.ytimg.com/vi/WJppLD_021c/hqdefault.jpg,2025-11-11T23:26:32.000Z,9048,13669,2025-11-12T02:20:46.879Z
18,UC0kFUQNwtbKJlfzTfj4x4YQ,SpiceFM,https://www.youtube.com/channel/UC0kFUQNwtbKJlfzTfj4x4YQ,,,,,,uGgl5JDKdcU,Kev Matara | The Personal Rebrand - Evolving Or Performing?,https://i2.ytimg.com/vi/uGgl5JDKdcU/hqdefault.jpg,2025-11-11T19:18:10.000Z,1283,40,2025-11-12T02:20:46.879Z
19,UC5h4-WH0LAV4CWs380yM33A,Iko Nini Podcast,https://www.youtube.com/channel/UC5h4-WH0LAV4CWs380yM33A,,,,,,mE05jtiIIkc,"JAILED for Sh1 BILLION Corruption, FREED, Now DEMANDS Sh1 BILLION Payout | The Untouchable MP",https://i2.ytimg.com/vi/mE05jtiIIkc/hqdefault.jpg,2025-11-11T11:01:34.000Z,1020,7820,2025-11-12T02:20:46.879Z
20,UCMD-JmezXoQiV9PiWLwVpGQ,Presenter Ali,https://www.youtube.com/channel/UCMD-JmezXoQiV9PiWLwVpGQ,,,,,,1SHWEbBi20k,COPY THE SIMPLEST PRICE ACTION STRATEGY WITH 90% WIN RATE - GODFATHER OF PRICE ACTION HOMMIE TILLER,https://i2.ytimg.com/vi/1SHWEbBi20k/hqdefault.jpg,2025-11-10T14:27:48.000Z,2720,10237,2025-11-12T02:20:46.879Z
21,UCsN1MzDQBaLX02SXvRVkcIA,Herman Manyora,https://www.youtube.com/channel/UCsN1MzDQBaLX02SXvRVkcIA,,,,,,HoHFrU60kXM,TONGUE OF POISON: How Cherargei will COST Ruto big time!,https://i1.ytimg.com/vi/HoHFrU60kXM/hqdefault.jpg,2025-11-11T16:45:01.000Z,1014,7923,2025-11-12T02:20:46.879Z
22,UCUhrpGr_luwUzVaxiW5Jkhw,Switch TV,https://www.youtube.com/channel/UCUhrpGr_luwUzVaxiW5Jkhw,,,,,,SN5TYTMRF-g,Raila Odinga Junior installed as head of family | Bondo | 23rd October 2025,https://i4.ytimg.com/vi/SN5TYTMRF-g/hqdefault.jpg,2025-10-23T21:53:47.000Z,2962,1901,2025-11-12T02:20:46.879Z
